signature,whale_address,ts_utc,shyft_result,shyft_erase_reason,shyft_direction,helius_result,helius_erase_reason,helius_direction,category,winner
5XDxp2K5qbLYdQGWij9iLFq7RCecpcJ6orvD6BJ4RhBvU5yzL5Ed5VpyFSzW4PoMUmQ6ftkCcVMV8ZDHe9HZArdU,9ZPsRWGkukYeWg2Z7eZ8NaTBZ1DSuBUVzLcGQWZgE4Y4,2026-02-18T09:32:12.150Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
KJf7cc8Kg1R3HdFCSm4RvcpeEVnS6sx85E7RhubgjPZa2HgC2ZrNWPcemnc9mD8Lo8rz4gSb97M2JZFEjXSsHH8,ByjcyGru3RTeAheTjoFJi7mL8knNmzHz1twuoqjbjRtF,2026-02-18T09:32:12.845Z,erase,transaction_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
3rDG9TgZ4LKMidiQDctUBKfJ418NfyRh86w9DE9RwSG7DmGZjJfSiAsiJRU2PRhS2FuP5JC9RJmzaYgNbpEZwHBo,C68a6RCGLiPskbPYtAcsCjhG8tfTWYcoB4JjCrXFdqyo,2026-02-18T09:32:10.773Z,erase,invalid_asset_count,n/a,erase,invalid_asset_count,n/a,both_missed,none
55Y4dpcKFrGH7wpVVuPBGgWGEhFc9aqgcTiPoqdKG1dDFGCTJ4Lfudd8tAG2ptaJ4sW4T8msoMfDU9fadU1CVEiW,H2rYhxbwkxjxbZwam3dbzVR8BbQCyHGUT8Kgitive4pt,2026-02-18T09:32:16.150Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
4nVokqQx6r9oNdsnNUs7bJZ21RCwDDQzesHUQboAmasuKV66JPJARCkF1BqUDr3bxWh9WNVCsfezP8qeZVTPKH2Z,H2rYhxbwkxjxbZwam3dbzVR8BbQCyHGUT8Kgitive4pt,2026-02-18T09:32:16.162Z,erase,invalid_asset_count,n/a,erase,invalid_asset_count,n/a,both_missed,none
4PKGb8uH6EQLx4xmj3iberrirVM6ksHXZz7wUQhtYBNNCwA1eFT324XPtx4HSC7waeB99SVYJmWabRT4isC38SQx,H2rYhxbwkxjxbZwam3dbzVR8BbQCyHGUT8Kgitive4pt,2026-02-18T09:32:16.182Z,erase,invalid_asset_count,n/a,erase,invalid_asset_count,n/a,both_missed,none
3BAMKue6Bwi9sf41oSsa5CXCAHiyxfJnuCB8vvf3x7aFbCh7xQpztmdMTTcEHv3dHBGfYk7Sdb1k6k1ycq2j2wRJ,H2rYhxbwkxjxbZwam3dbzVR8BbQCyHGUT8Kgitive4pt,2026-02-18T09:32:16.193Z,erase,invalid_asset_count,n/a,erase,invalid_asset_count,n/a,both_missed,none
3b8ZXiGqNJKJRLjU4pPHzscbhvAHf9vrEhiLb3gtUkxVHPjBxSCwT6BfNLDVX1kQsprF9CYzJ9qcxJve8Y7Nkrzz,H2rYhxbwkxjxbZwam3dbzVR8BbQCyHGUT8Kgitive4pt,2026-02-18T09:32:16.173Z,erase,invalid_asset_count,n/a,erase,invalid_asset_count,n/a,both_missed,none
4Shiq437hymN2vZtwWijcLsTMsBMYWNouDVwtQZhT2MGwTguoLJwK89mUvKMECrQ48FZGReSBkQzJ1wscLmA6tpR,ByjcyGru3RTeAheTjoFJi7mL8knNmzHz1twuoqjbjRtF,2026-02-18T09:32:22.590Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
38KDHqCkYHEJVLJn8ZP2b2yHhYNn5sWW5G1FgfCdw6hh8ndLXU14qkELAaT5qjme7h3NQH1JA3nAk3vsD7cHEGGa,EkeyuVghbRfGWPyEtm3vnjKZPbUXXrPqxdar8fsEMuXd,2026-02-18T09:32:24.537Z,erase,invalid_asset_count,n/a,erase,invalid_asset_count,n/a,both_missed,none
5BGV4nDAiLTa7xzRPPr2jZuS5zN4EKL9xEMQMJCYzHZkJ3ZCbNGqPp3osLNzPvsfUGxGK54wD6ZLnCjfb112vW3c,ByjcyGru3RTeAheTjoFJi7mL8knNmzHz1twuoqjbjRtF,2026-02-18T09:32:26.481Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
5sTUEYb98MceY1knTBPUrB3Uao2SQBRLoYLK2rEYgwo6ZPd8FXbJyjZkU7A1iMcwUBevxfTt5UqCZt5TPumdiKna,sdPGX5Zgb2a8o67aHSAezHmcTHe8HRs8HotyHvzhEhT,2026-02-18T09:32:31.022Z,erase,transaction_failed,n/a,erase,invalid_asset_count,n/a,both_missed,none
VKbg5PsyJZNkNorS5kk9q1DsSbxJhXWDQAmMmCQ8ziKz1VFE9qxMQCnL6JjPfxaygm2BSVHDTAJA5XzRm6XvNbY,9ZPsRWGkukYeWg2Z7eZ8NaTBZ1DSuBUVzLcGQWZgE4Y4,2026-02-18T09:32:30.682Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
54ub6EX3em7xrbowGEFTSTg8AHdaWReS4podT1jGhgD5BF21bfBjP5gCpS1tRDUmHc3itAJxmsgNzpCp3QpZ341g,H2rYhxbwkxjxbZwam3dbzVR8BbQCyHGUT8Kgitive4pt,2026-02-18T09:32:37.173Z,erase,invalid_asset_count,n/a,erase,invalid_asset_count,n/a,both_missed,none
21ZA2TFqPyaMUV6tX2GTNZG97yGuAGfVUBP9SboQAdUcqigGZuYuDJZ6YquSpjcJdcvmrRTbabbspPVEheXPN2hp,H2rYhxbwkxjxbZwam3dbzVR8BbQCyHGUT8Kgitive4pt,2026-02-18T09:32:37.161Z,erase,invalid_asset_count,n/a,erase,invalid_asset_count,n/a,both_missed,none
